entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
290,2025-02-19,48.259,short,295,2025-02-24,47.149,2.3000891025508183,0.30008910255081833,0.564645,0,2,
294,2025-02-23,47.19,short,297,2025-02-26,41.341,12.394575121847842,10.394575121847842,0.917528,0,2,
295,2025-02-24,47.138999999999996,short,297,2025-02-26,41.341,12.299794225588144,10.299794225588144,0.9069906,0,2,
297,2025-02-26,41.330999999999996,short,298,2025-02-27,44.935,-8.719847088142089,-10.719847088142089,0.8843558,0,2,
298,2025-02-27,44.925,short,303,2025-03-04,43.469,3.2409571508068917,1.2409571508068917,0.5068167,0,2,
299,2025-02-28,44.315,short,304,2025-03-05,41.513000000000005,6.322915491368594,4.322915491368594,0.69471616,0,2,
303,2025-03-04,43.458999999999996,short,305,2025-03-06,38.245000000000005,11.997514899100283,9.997514899100283,0.6690414,0,2,
304,2025-03-05,41.503,short,309,2025-03-10,41.237,0.6409175240344029,-1.359082475965597,0.5562193,0,2,
306,2025-03-07,39.965999999999994,short,311,2025-03-12,42.259,-5.737376770254733,-7.737376770254733,0.50673205,0,2,
310,2025-03-11,42.715,long,315,2025-03-16,42.285,-1.006672129228624,-3.0066721292286243,0.53298545,2,2,
311,2025-03-12,42.259,long,316,2025-03-17,41.242999999999995,-2.40422158593437,-4.40422158593437,0.5154947,2,2,
315,2025-03-16,42.295,long,320,2025-03-21,42.599999999999994,0.7211254285376347,-1.2788745714623653,0.5549944,2,2,
317,2025-03-18,40.75,short,322,2025-03-23,42.61,-4.564417177914109,-6.564417177914109,0.5756189,0,2,
321,2025-03-22,42.61,long,326,2025-03-27,41.196999999999996,-3.31612297582728,-5.31612297582728,0.5230731,2,2,
322,2025-03-23,42.61,long,327,2025-03-28,40.582,-4.759446139403893,-6.759446139403893,0.5344607,2,2,
326,2025-03-27,41.196999999999996,short,331,2025-04-01,42.455000000000005,-3.053620409253125,-5.053620409253125,0.5586964,0,2,
328,2025-03-29,40.582,short,333,2025-04-03,39.208000000000006,3.3857375190971246,1.3857375190971246,0.68698,0,2,
331,2025-04-01,42.445,short,334,2025-04-04,36.406000000000006,14.227824243138166,12.227824243138166,0.6474637,0,2,
333,2025-04-03,39.198,short,338,2025-04-08,36.236000000000004,7.5565079851012715,5.5565079851012715,0.5756189,0,2,
334,2025-04-04,36.396,short,339,2025-04-09,33.671,7.4870864930212155,5.4870864930212155,0.5851219,0,2,
339,2025-04-09,33.660999999999994,short,344,2025-04-14,34.504000000000005,-2.5043819256706894,-4.504381925670689,0.5268391,0,2,
341,2025-04-11,33.458,short,346,2025-04-16,35.317,-5.556219738179215,-7.556219738179215,0.5200384,0,2,
344,2025-04-14,34.494,short,349,2025-04-19,35.662,-3.3860961326607506,-5.38609613266075,0.61868453,0,2,
346,2025-04-16,35.306999999999995,short,351,2025-04-21,35.662,-1.005466338119931,-3.005466338119931,0.6417241,0,2,
349,2025-04-19,35.651999999999994,short,354,2025-04-24,33.579,5.814540558734415,3.814540558734415,0.62538195,0,2,
351,2025-04-21,35.651999999999994,short,356,2025-04-26,32.437000000000005,9.017726915741024,7.017726915741024,0.62538195,0,2,
354,2025-04-24,33.568999999999996,short,359,2025-04-29,31.861,5.088027644552995,3.0880276445529953,0.61198294,0,2,
356,2025-04-26,32.427,short,361,2025-05-01,32.154,0.841891016745293,-1.158108983254707,0.5319702,0,2,
359,2025-04-29,31.851000000000003,short,364,2025-05-04,33.083000000000006,-3.868010423534592,-5.868010423534592,0.5831349,0,2,
361,2025-05-01,32.144,short,366,2025-05-06,34.748000000000005,-8.101045296167268,-10.101045296167268,0.55726504,0,2,
364,2025-05-04,33.073,short,369,2025-05-09,34.623000000000005,-4.686602364466496,-6.686602364466496,0.79011154,0,2,
366,2025-05-06,34.738,short,371,2025-05-11,34.623000000000005,0.3310495710748888,-1.6689504289251111,0.7183956,0,2,
